Rank,Release Group,Worldwide,Domestic,%,Foreign,%
580,God and Gays: Bridging the Gap,"$5,095","$5,095",100%,-,-
581,Tre,"$4,759","$4,759",100%,-,-
582,House of the Sleeping Beauties,"$4,509","$4,509",100%,-,-
583,Twisted: A Balloonamentary,"$4,218","$4,218",100%,-,-
584,Solar Flare,"$4,098","$4,098",100%,-,-
585,Where God Left His Shoes,"$3,911","$3,911",100%,-,-
586,A Bloody Aria 2008 Re-release,"$3,532",$518,14.7%,"$3,014",85.3%
587,American Zombie,"$3,126","$3,126",100%,-,-
588,Who Does She Think She Is?,"$3,081","$3,081",100%,-,-
589,Spiral,"$3,072","$3,072",100%,-,-
590,Run for Your Life,"$2,992","$2,992",100%,-,-
591,Wetlands Preserved: The Story of an Activist Nightclub,"$2,970","$2,970",100%,-,-
592,"On the Other Hand, Death","$2,892","$2,892",100%,-,-
593,Lower Learning,"$2,804","$2,804",100%,-,-
594,Polar Opposites,"$2,377","$2,377",100%,-,-
595,13 Months of Sunshine,"$2,337","$2,337",100%,-,-
596,Running with Arnold,"$2,119","$2,119",100%,-,-
597,Murder.com,"$2,070","$2,070",100%,-,-
598,House of Usher,"$1,677","$1,677",100%,-,-
599,Ice Blues,"$1,377","$1,377",100%,-,-
600,Fall of Hyperion,"$1,093","$1,093",100%,-,-
601,Kiss Me Deadly,"$1,085","$1,085",100%,-,-
602,How to Rob a Bank (and 10 Tips to Actually Get Away with It),"$1,006","$1,006",100%,-,-
603,Beat the Drum,$895,-,-,$895,100%
604,Disfigured,$829,$829,100%,-,-
605,The Rise and Fall of Miss Thang,$581,$581,100%,-,-
606,Canary,$504,$504,100%,-,-
607,Rome & Jewel,$470,$470,100%,-,-
